Coutras#Aquitaine#Avenue de la Gare, 33230 Guîtres, France#45.038648#-0.1926094
Couze#Aquitaine#Avenue de la Gare, 24150 Lalinde, France#44.8355012#0.7037868
Creysse-Mouleydier#Aquitaine#Avenue de la Gare, 24100 Creysse, France#44.855559#0.5756305
Croix-d'Hins#Aquitaine#Marcheprime, France#44.6914591#-0.8541284
Cubzac-les-Ponts#Aquitaine#Rue de la Gare, 33240 Cubzac-les-Ponts, France#44.972247#-0.4576813
Dax#Aquitaine#Avenue de la Gare, 40100 Dax, France#43.7201589#-1.0508715
Douzillac#Aquitaine#La Gare, 24190 Neuvic, France#45.0990698#0.4422262
Facture#Aquitaine#Rue de la Gare, 33380 Biganos, France#44.6374029#-0.9669004
Gan#Aquitaine#Avenue de la Gare, 64290 Gan, France#43.2341607#-0.3893334
Gardonne#Aquitaine#Boulevard de la Gare, 24680 Gardonne, France#44.8351424#0.3323909
Gauriaguet#Aquitaine#Rue de la Gare, 33240 Gauriaguet, France#45.0538504#-0.3998879
Gazinet-Cestas#Aquitaine#Cestas Gazinet, 33610 Cestas, France#44.77196#-0.70221
Gironde#Aquitaine#la Gare, 33810 Ambès, France#45.0286892#-0.5922588
Guéthary#Aquitaine#Rue de la Gare, 64210 Bidart, France#43.4305176#-1.5938901
Gujan-Mestras#Aquitaine#Avenue de la Gare, 33470 Gujan-Mestras, France#44.6387109#-1.068068
Halsou-Larressore#Aquitaine#Gare, 64480 Ustaritz, France#43.405496#-1.4498961
Hendaye#Aquitaine#Gare, 64700 Hendaye, France#43.3515112#-1.7854551
Hendaye-Plage#Aquitaine#Aquitania, France#44.7002222#-0.2995785
Itxassou#Aquitaine#Avenue de la Gare, 64250 Cambo-les-Bains, France#43.3639817#-1.397665
Jatxou#Aquitaine#Gare, 64480 Ustaritz, France#43.405496#-1.4498961
La Bachellerie#Aquitaine#La Bachellerie, France#45.1465417#1.153322
La Cave#Aquitaine#La Gare de Beaulieu, 24430 Annesse-et-Beaulieu, France#45.2033404#0.6108572
La Coquille#Aquitaine#Avenue de la Gare, 24450 La Coquille, France#45.541396#0.9750155
La Croix-du-Prince#Aquitaine#Aquitania, France#44.7002222#-0.2995785
La Gorp#Aquitaine#Aquitania, France#44.7002222#-0.2995785
La Grave-d'Ambarès-Gare-Inf#Aquitaine#Aquitania, France#44.7002222#-0.2995785
La Hume#Aquitaine#Aquitania, France#44.7002222#-0.2995785
La Pointe-de-Grave#Aquitaine#Aquitania, France#44.7002222#-0.2995785
La Réole#Aquitaine#Avenue de la Gare, 33190 La Réole, France#44.5794163#-0.0285233
La Teste#Aquitaine#Square du 18 Juin 1940, 33260 La Teste-de-Buch, France#44.636399#-1.142653
Labenne#Aquitaine#Labenne, France#43.5952514#-1.4252136
Labouheyre#Aquitaine#Rue de la Gare, 40210 Labouheyre, France#44.211298#-0.9206755
Lalinde#Aquitaine#Avenue de la Gare, 24150 Lalinde, France#44.8362962#0.70253
Lamonzie-St-Martin#Aquitaine#Boulevard de la Gare, 24680 Gardonne, France#44.8351424#0.3323909
Lamothe-Landerron#Aquitaine#Rue de la Gare, 47180 Sainte-Bazeille, France#44.5322756#0.092423
